Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000241468,ATP5MF,Gene Expression,0.08419843921103931,0.0,0.0,35174,2.810489035458857,10400
ENSG00000152954,NRSN1,Gene Expression,0.0841953136642115,0.0,0.0,1453,0.13517913873843546,1202
ENSG00000147432,CHRNB3,Gene Expression,0.08418870522704157,0.0,0.0,974,0.08341207007572528,892
ENSG00000214944,ARHGEF28,Gene Expression,0.08418731733674283,0.0,0.0,12707,0.9840626642126361,7040
ENSG00000149571,KIRREL3,Gene Expression,0.08418728089869247,0.0,0.0,887,0.08036612487407396,766
ENSG00000134830,C5AR2,Gene Expression,0.08405935938421139,0.0,0.0,1538,0.14283000204108598,1366
ENSG00000141736,ERBB2,Gene Expression,0.08404375740247634,0.0,0.0,20824,1.615579071979073,8748
ENSG00000183775,KCTD16,Gene Expression,0.08403691191645701,0.0,0.0,932,0.08474362916549369,815
ENSG00000184792,OSBP2,Gene Expression,0.08403570307711251,0.0,0.0,1304,0.12044583061968031,1125
ENSG00000166265,CYYR1,Gene Expression,0.0839559153691077,0.0,0.0,4072,0.3914078491651027,3047
ENSG00000169085,VXN,Gene Expression,0.08393870300373424,0.0,0.0,2591,0.2329920241247397,2142
ENSG00000165209,STRBP,Gene Expression,0.08389565879601804,0.0,0.0,20984,1.6373810989255881,8891
ENSG00000171532,NEUROD2,Gene Expression,0.08385059367966612,0.0,0.0,856,0.08028912561259408,737
ENSG00000179820,MYADM,Gene Expression,0.08376043398128413,0.0,0.0,11696,0.994348330154349,6894
ENSG00000142552,RCN3,Gene Expression,0.08375864288304105,0.0,0.0,8327,0.75168320337393,5562
ENSG00000111144,LTA4H,Gene Expression,0.08375097450512901,0.0,0.0,37297,2.9441169131756846,10518
ENSG00000058262,SEC61A1,Gene Expression,0.0837469720731168,0.0,0.0,36751,2.9695327138820606,10578
ENSG00000170323,FABP4,Gene Expression,0.08370039985648639,0.0,0.0,870,0.08751794671970535,748
ENSG00000184432,COPB2,Gene Expression,0.08368869681276708,0.0,0.0,42184,3.378507622372348,10800
ENSG00000065978,YBX1,Gene Expression,0.08368024023550806,0.0,0.0,41353,3.4696366212446472,10924
ENSG00000100485,SOS2,Gene Expression,0.08367690088915655,0.0,0.0,31757,2.56247409908319,10237
ENSG00000204472,AIF1,Gene Expression,0.08358302943431696,0.0,0.0,29834,2.589646078531282,10176
ENSG00000163485,ADORA1,Gene Expression,0.08356693068979655,0.0,0.0,2163,0.2028826413390294,1807
ENSG00000131378,RFTN1,Gene Expression,0.08350956404718729,0.0,0.0,3999,0.3721374810452191,3057
ENSG00000113758,DBN1,Gene Expression,0.08348023371380245,0.0,0.0,20565,1.6392050478163542,8865
ENSG00000155926,SLA,Gene Expression,0.08345816449591284,0.0,0.0,11269,0.9811555657770468,6632
ENSG00000197077,KIAA1671,Gene Expression,0.08339625269873761,0.0,0.0,21089,1.6867427186195887,8917
ENSG00000186472,PCLO,Gene Expression,0.08331579708672239,0.0,0.0,5848,0.4907942125407907,4263
ENSG00000155816,FMN2,Gene Expression,0.08322189864716001,0.0,0.0,1250,0.11210199573843559,1066
ENSG00000156976,EIF4A2,Gene Expression,0.08318304171192487,0.0,0.0,35833,2.8815520432569492,10516
ENSG00000134318,ROCK2,Gene Expression,0.08316698581721899,0.0,0.0,32732,2.5728548853146966,10193
ENSG00000129038,LOXL1,Gene Expression,0.08313918502069473,0.0,0.0,13869,1.1328226006903017,7380
ENSG00000139318,DUSP6,Gene Expression,0.08310027865917476,0.0,0.0,9123,0.8097873567194559,5807
ENSG00000137312,FLOT1,Gene Expression,0.08309133872989669,0.0,0.0,48146,3.9570452092589763,11087
ENSG00000150782,IL18,Gene Expression,0.083055756383493,0.0,0.0,24197,1.9699460490146807,9478
ENSG00000138741,TRPC3,Gene Expression,0.08304654131669308,0.0,0.0,3086,0.25783248818992666,2559
ENSG00000116147,TNR,Gene Expression,0.08303404429249876,0.0,0.0,899,0.0814644697220594,762
ENSG00000138685,FGF2,Gene Expression,0.08300705487646082,0.0,0.0,17314,1.354600239095855,8179
ENSG00000119900,OGFRL1,Gene Expression,0.08300104590907104,0.0,0.0,28757,2.4487903199532575,10174
ENSG00000178562,CD28,Gene Expression,0.08299964134842279,0.0,0.0,578,0.064780948635851,544
